1.6,8.0,11.6,12.5,15.2,20.0,36.0,46.0,54.0
20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0
40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0
50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0
70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0
80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0
90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0
120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0
130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0
140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0
150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0
160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0
170.0,170.0,170.0,170.0,170.0,170.0,170.0,170.0,170.0
180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0
190.0,190.0,190.0,190.0,190.0,190.0,190.0,190.0,190.0
200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0
210.0,210.0,210.0,210.0,210.0,210.0,210.0,210.0,210.0
220.0,220.0,220.0,220.0,220.0,220.0,220.0,220.0,220.0
230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0
240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0
250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0
260.0,260.0,260.0,260.0,260.0,260.0,260.0,260.0,260.0
270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0
280.0,280.0,280.0,280.0,280.0,280.0,280.0,280.0,280.0
290.0,290.0,290.0,290.0,290.0,290.0,290.0,290.0,290.0
300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0
310.0,310.0,310.0,310.0,310.0,310.0,310.0,310.0,310.0
320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0
330.0,330.0,330.0,330.0,330.0,330.0,330.0,330.0,330.0
340.0,340.0,340.0,340.0,340.0,340.0,340.0,340.0,340.0
350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0
360.0,360.0,360.0,360.0,360.0,360.0,360.0,360.0,360.0
370.0,370.0,370.0,370.0,370.0,370.0,370.0,370.0,370.0
380.0,380.0,380.0,380.0,380.0,380.0,380.0,380.0,380.0
390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0
400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0
410.0,410.0,410.0,410.0,410.0,410.0,410.0,410.0,410.0
420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0
